"EVENT_UUID","EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","PROGRAM_ID","AGGREGATOR_ID","COUNTRY_CODE","MOBILE_CODE","MOBILE_CHANNEL","MOBILE_KEYWORD","OFFER_SIGNATURE_ID","MSG_SPLIT_COUNT","MESSAGE","MOBILE_NUMBER","CAMPAIGN_NAME","FIRST_NAME","LAST_NAME","DOB","HINDI","CHINES","JAPANESE","ARABIC","RUSSIAN","GREEK","ALBANIAN","LATVIAN","KOREAN"
"67ab2ad5-51ac-4346-b9bd-75c055f52651","401","100341","23461","96012661","Cust ID2","03-Jun-2019 05:15:30","03-Jun-2019 05:15:45","57941","66516061","58061","1","US","28179","Sms","","-1","","Soham_Cust_9thApril_Help simple outbound for 16505541184","16505541184","Soham_Cust_9thApril_Help","","","","","","","","","","","",""
"e4faef96-30fc-445d-8a96-d46ea1ab0e37","401","100341","23461","96012841","Cust ID11","03-Jun-2019 05:15:30","03-Jun-2019 05:15:45","57941","66516061","58061","1","US","28179","Sms","","-1","","Soham_Cust_9thApril_Help simple outbound for 16503158507","16503158507","Soham_Cust_9thApril_Help","","","","","","","","","","","",""
"5d2139da-2f3e-4c2a-bceb-39afe3b892e4","401","100341","23461","96012801","Cust ID9","03-Jun-2019 05:15:30","03-Jun-2019 05:15:45","57941","66516061","58061","1","US","28179","Sms","","-1","","Soham_Cust_9thApril_Help simple outbound for 16503154814","16503154814","Soham_Cust_9thApril_Help","","","","","","","","","","","",""
"da93f84f-caf9-447e-8eb0-3a00eb370c8b","401","100341","23461","96012961","Cust ID17","03-Jun-2019 05:15:30","03-Jun-2019 05:15:45","57941","66516061","58061","1","US","28179","Sms","","-1","","Soham_Cust_9thApril_Help simple outbound for 16502063896","16502063896","Soham_Cust_9thApril_Help","","","","","","","","","","","",""
"a887a567-70e6-4024-ad42-57996b7c01b0","401","100341","3441","558295281","","03-Jun-2019 05:25:31","03-Jun-2019 05:25:46","4108401","66516081","4108461","1","US","28179","Sms","","-1","","Soham_29thMay_Cust_2 outbound","16502882800","Soham_29thMay_Cust_2","","","","","","","","","","","",""
"5098ed79-ba05-44a6-9c30-7dcfc0da172f","401","100341","3441","550496241","","03-Jun-2019 05:25:31","03-Jun-2019 05:25:46","4108401","66516081","4108461","1","US","28179","Sms","","-1","","Soham_29thMay_Cust_2 outbound","16508635091","Soham_29thMay_Cust_2","","","","","","","","","","","",""
"a418184d-ff40-492e-94b8-39252d86b0ef","401","100341","3441","2001261","Cust ID14","03-Jun-2019 05:25:31","03-Jun-2019 05:25:46","4108401","66516081","4108461","1","US","28179","Sms","","-1","","Soham_29thMay_Cust_2 outbound","16504211192","Soham_29thMay_Cust_2","","","","","","","","","","","",""
"703874b1-7d42-4951-b973-5b91e734f82e","401","100341","23461","96012661","Cust ID2","30-May-2019 20:37:07","30-May-2019 20:37:20","4123861","66513601","4123941","1","US","28179","Sms","","-1","","Soham_18thJune_Cust_1 outbound standalone with filter","16505541184","Soham_18thJune_Cust_1","","","","","","","","","","","",""
"b9dab45a-253b-4f08-980c-b4f70c232ed2","401","100341","23461","96012961","Cust ID17","30-May-2019 20:37:07","30-May-2019 20:37:22","4123861","66513601","4123941","1","US","28179","Sms","","-1","","Soham_18thJune_Cust_1 outbound standalone with filter","16502063896","Soham_18thJune_Cust_1","","","","","","","","","","","",""
"42c2bf7c-c769-4ef9-a640-b8b89ec96068","401","100341","23461","96012801","Cust ID9","30-May-2019 20:37:08","30-May-2019 20:37:23","4123861","66513601","4123941","1","US","28179","Sms","","-1","","Soham_18thJune_Cust_1 outbound standalone with filter","16503154814","Soham_18thJune_Cust_1","","","","","","","","","","","",""
