"EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL","EMAIL_ISP","EMAIL_FORMAT","OFFER_SIGNATURE_ID","DYNAMIC_CONTENT_SIGNATURE_ID","MESSAGE_SIZE","SEGMENT_INFO","CONTACT_INFO","REASON","EMAIL_ADDRESS_","MYUNIQUEID","CELL_ID","TREATMENT_CODE","MIRRORURL"
"10","100348","1421","1241","","17-Jul-2019 07:01:06","17-Jul-2019 07:01:21","82109581","202685781","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","H","-1648616751","","0","","","553 5.1.2 syntax error in domain (Error in ""asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com"": label too long (67 octets)) in ""RCPT TO: <asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com>""","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","","","",""
"10","100348","1421","1241","","17-Jul-2019 07:02:17","17-Jul-2019 07:02:32","82109581","202685801","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","H","-1648616751","","0","","","553 5.1.2 syntax error in domain (Error in ""asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com"": label too long (67 octets)) in ""RCPT TO: <asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com>""","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","","","",""
"10","100348","1421","1241","","17-Jul-2019 07:03:54","17-Jul-2019 07:04:09","82109581","202685821","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","H","-1648616751","","0","","","553 5.1.2 syntax error in domain (Error in ""asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com"": label too long (67 octets)) in ""RCPT TO: <asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com>""","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","","","",""
"10","100348","1421","1061","","24-Jul-2019 15:14:32","24-Jul-2019 15:14:47","4441","202694541","gondhkar.v@gmail.com","gmail.com","H","-1648616751","","0","","","gmailid","gondhkar.v@gmail.com","","","",""
"10","100348","1421","1061","","12-Jul-2019 11:33:04","12-Jul-2019 11:33:19","4421","202677021","gondhkar.v@gmail.com","gmail.com","H","-1648616751","","0","","","gmailid","gondhkar.v@gmail.com","","","",""
"10","100348","1421","1081","","12-Jul-2019 11:33:04","12-Jul-2019 11:33:19","4421","202677021","gondhkar.v@gmail.com","gmail.com","T","1085839645","","0","","","gmailid","gondhkar.v@gmail.com","","","",""
"10","100348","1421","1101","","12-Jul-2019 11:33:04","12-Jul-2019 11:33:19","4441","202677041","gondhkar.v@gmail.com","gmail.com","M","-1648616751","","0","","","gmailid","gondhkar.v@gmail.com","","","",""
"10","100348","1421","1241","","12-Jul-2019 11:33:04","12-Jul-2019 11:33:19","4441","202677041","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","M","1245322475","","0","","","553 5.1.2 syntax error in domain (Error in ""asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com"": label too long (67 octets)) in ""RCPT TO: <asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com>""","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","","","",""
"10","100348","1421","1061","","13-Jul-2019 11:33:04","13-Jul-2019 11:33:19","4421","202679181","gondhkar.v@gmail.com","gmail.com","H","-1648616751","","0","","","gmailid","gondhkar.v@gmail.com","","","",""
"10","100348","1421","1101","","13-Jul-2019 11:33:04","13-Jul-2019 11:33:19","4441","202679201","gondhkar.v@gmail.com","gmail.com","M","-1648616751","","0","","","gmailid","gondhkar.v@gmail.com","","","",""
"10","100348","1421","1081","","13-Jul-2019 11:33:04","13-Jul-2019 11:33:19","4421","202679181","gondhkar.v@gmail.com","gmail.com","T","1085839645","","0","","","gmailid","gondhkar.v@gmail.com","","","",""
"10","100348","1421","1241","","13-Jul-2019 11:33:04","13-Jul-2019 11:33:19","4421","202679181","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","M","1245322475","","0","","","553 5.1.2 syntax error in domain (Error in ""asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com"": label too long (67 octets)) in ""RCPT TO: <asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com>""","asdfasdfasdtgfawertyawetawefawfeaefuyashidlfuhasildfjhl@asdfasdfgasdgjaskldjnalkjfnalkdjnalkdflansdlkjfnalskjdnfakljsdnfadf.com","","","",""
