"EVENT_TYPE_ID","ACCOUNT_ID","LIST_ID","RIID","CUSTOMER_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EMAIL","EMAIL_ISP","EMAIL_FORMAT","OFFER_SIGNATURE_ID","DYNAMIC_CONTENT_SIGNATURE_ID","MESSAGE_SIZE","SEGMENT_INFO","CONTACT_INFO","EMAIL_ADDRESS_","MYUNIQUEID","CELL_ID","TREATMENT_CODE","MIRRORURL"
"1","100348","5261","3015061","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-766@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113632","SR:-28024421","testdig1-766@interactexpress.com","testdig1-766@interactexpress.com","","","",""
"1","100348","5261","3006821","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-38@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113567","SR:-28024421","testdig1-38@interactexpress.com","testdig1-38@interactexpress.com","","","",""
"1","100348","5261","3011321","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-739@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113589","SR:-28024421","testdig1-739@interactexpress.com","testdig1-739@interactexpress.com","","","",""
"1","100348","5261","3004641","","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","jnellore1-988@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113542","SR:-28024421","jnellore1-988@interactexpress.com","jnellore1-988@interactexpress.com","","","",""
"1","100348","5261","3005761","","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","jnellore-219@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113500","SR:-28024421","jnellore-219@interactexpress.com","jnellore-219@interactexpress.com","","","",""
"1","100348","5261","3007601","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-74@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113574","SR:-28024421","testdig1-74@interactexpress.com","testdig1-74@interactexpress.com","","","",""
"1","100348","5261","3009321","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-607@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113608","SR:-28024421","testdig1-607@interactexpress.com","testdig1-607@interactexpress.com","","","",""
"1","100348","5261","3002641","","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","jnellore-33@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113456","SR:-28024421","jnellore-33@interactexpress.com","jnellore-33@interactexpress.com","","","",""
"1","100348","5261","3019841","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-1010@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113612","SR:-28024421","testdig1-1010@interactexpress.com","testdig1-1010@interactexpress.com","","","",""
"1","100348","5261","3011981","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-644@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113617","SR:-28024421","testdig1-644@interactexpress.com","testdig1-644@interactexpress.com","","","",""
"1","100348","5261","3020601","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-1198@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113621","SR:-28024421","testdig1-1198@interactexpress.com","testdig1-1198@interactexpress.com","","","",""
"1","100348","5261","3016921","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-892@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113616","SR:-28024421","testdig1-892@interactexpress.com","testdig1-892@interactexpress.com","","","",""
"1","100348","5261","3014881","White","24-Jul-2019 15:54:36","24-Jul-2019 15:54:51","82098501","202694601","testdig1-757@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113590","SR:-28024421","testdig1-757@interactexpress.com","testdig1-757@interactexpress.com","","","",""
"1","100348","5261","3016941","White","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","testdig1-893@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113632","SR:-28024421","testdig1-893@interactexpress.com","testdig1-893@interactexpress.com","","","",""
"1","100348","5261","3005781","","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","jnellore-220@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113481","SR:-28024421","jnellore-220@interactexpress.com","jnellore-220@interactexpress.com","","","",""
"1","100348","5261","3009341","White","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","testdig1-608@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113579","SR:-28024421","testdig1-608@interactexpress.com","testdig1-608@interactexpress.com","","","",""
"1","100348","5261","3012001","White","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","testdig1-645@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113608","SR:-28024421","testdig1-645@interactexpress.com","testdig1-645@interactexpress.com","","","",""
"1","100348","5261","3007621","White","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","testdig1-75@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113597","SR:-28024421","testdig1-75@interactexpress.com","testdig1-75@interactexpress.com","","","",""
"1","100348","5261","3002661","","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","jnellore-34@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113484","SR:-28024421","jnellore-34@interactexpress.com","jnellore-34@interactexpress.com","","","",""
"1","100348","5261","3015081","White","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","testdig1-767@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113587","SR:-28024421","testdig1-767@interactexpress.com","testdig1-767@interactexpress.com","","","",""
"1","100348","5261","3019861","White","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","testdig1-1161@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113670","SR:-28024421","testdig1-1161@interactexpress.com","testdig1-1161@interactexpress.com","","","",""
"1","100348","5261","3006841","White","24-Jul-2019 17:34:43","24-Jul-2019 17:34:58","82098501","202694601","testdig1-39@interactexpress.com","interactexpress.com","H","-1281190000","1033032405","113617","SR:-28024421","testdig1-39@interactexpress.com","testdig1-39@interactexpress.com","","","",""
